airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,departure_airport,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arrival_airport,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,arr_actual,arr_actual_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,arr_actual_ts,dep_actual_ts,departure_delay,delay_category,departure_terminal,arrival_terminal
B6,JBU,B66420,JBU6420,6420,BEG,LYBE,2,,2025-04-26 06:40,2025-04-26 04:40,2025-04-26 07:40,2025-04-26 05:40,,,CDG,LFPG,2B,,04,2025-04-26 09:15,2025-04-26 07:15,2025-04-26 10:24,2025-04-26 08:24,,,JU,240,JU240,scheduled,155,69,60.0,69.0,,1745651700,1745642400,1745655840.0,1745646000.0,,,0,On Time,2,2B
WN,SWA,WN4508,SWA4508,4508,DEN,KDEN,,,2025-04-25 21:55,2025-04-26 03:55,2025-04-25 23:40,2025-04-26 05:40,2025-04-25 23:40,2025-04-26 05:40,LAX,KLAX,1,,,2025-04-25 23:25,2025-04-26 06:25,2025-04-26 01:17,2025-04-26 08:17,,,,,,active,150,112,105.0,112.0,B38M,1745648700,1745639700,1745655420.0,1745646000.0,,1745646000.0,105,Long Delay,Unknown,1
3U,CSC,3U5196,CSC5196,5196,CTU,ZUUU,T2,,2025-04-26 12:25,2025-04-26 04:25,2025-04-26 13:40,2025-04-26 05:40,2025-04-26 13:40,2025-04-26 05:40,SHA,ZSSS,2,,31,2025-04-26 14:55,2025-04-26 06:55,2025-04-26 16:29,2025-04-26 08:29,,,MU,5410,MU5410,active,150,75,75.0,94.0,,1745650500,1745641500,1745656140.0,1745646000.0,,1745646000.0,75,Long Delay,T2,2
NH,ANA,NH5849,ANA5849,5849,NRT,RJAA,,,2025-04-26 13:25,2025-04-26 04:25,2025-04-26 14:40,2025-04-26 05:40,2025-04-26 14:40,2025-04-26 05:40,TPE,RCTP,2,C5R,,2025-04-26 16:05,2025-04-26 08:05,,,,,BR,183,BR183,active,220,75,75.0,,,1745654700,1745641500,,1745646000.0,,1745646000.0,75,Long Delay,Unknown,2
TG,THA,TG6365,THA6365,6365,NRT,RJAA,,,2025-04-26 13:25,2025-04-26 04:25,2025-04-26 14:40,2025-04-26 05:40,2025-04-26 14:40,2025-04-26 05:40,TPE,RCTP,2,C5R,,2025-04-26 16:05,2025-04-26 08:05,,,,,BR,183,BR183,active,220,75,75.0,,,1745654700,1745641500,,1745646000.0,,1745646000.0,75,Long Delay,Unknown,2
MU,CES,MU5410,CES5410,5410,CTU,ZUUU,T2,,2025-04-26 12:25,2025-04-26 04:25,2025-04-26 13:40,2025-04-26 05:40,2025-04-26 13:40,2025-04-26 05:40,SHA,ZSSS,2,,31,2025-04-26 14:55,2025-04-26 06:55,2025-04-26 16:29,2025-04-26 08:29,,,,,,active,150,75,75.0,94.0,,1745650500,1745641500,1745656140.0,1745646000.0,,1745646000.0,75,Long Delay,T2,2
JU,ASL,JU240,ASL240,240,BEG,LYBE,2,,2025-04-26 06:40,2025-04-26 04:40,2025-04-26 07:40,2025-04-26 05:40,,,CDG,LFPG,2B,,04,2025-04-26 09:15,2025-04-26 07:15,2025-04-26 10:24,2025-04-26 08:24,,,,,,scheduled,155,69,60.0,69.0,A320,1745651700,1745642400,1745655840.0,1745646000.0,,,0,On Time,2,2B
HO,DKH,HO5427,DKH5427,5427,CTU,ZUUU,T2,,2025-04-26 12:25,2025-04-26 04:25,2025-04-26 13:40,2025-04-26 05:40,2025-04-26 13:40,2025-04-26 05:40,SHA,ZSSS,2,,31,2025-04-26 14:55,2025-04-26 06:55,2025-04-26 16:29,2025-04-26 08:29,,,MU,5410,MU5410,active,150,75,75.0,94.0,,1745650500,1745641500,1745656140.0,1745646000.0,,1745646000.0,75,Long Delay,T2,2
TK,THY,TK9448,THY9448,9448,NRT,RJAA,,,2025-04-26 13:25,2025-04-26 04:25,2025-04-26 14:40,2025-04-26 05:40,2025-04-26 14:40,2025-04-26 05:40,TPE,RCTP,2,C5R,,2025-04-26 16:05,2025-04-26 08:05,,,,,BR,183,BR183,active,220,75,75.0,,,1745654700,1745641500,,1745646000.0,,1745646000.0,75,Long Delay,Unknown,2
AF,AFR,AF6291,AFR6291,6291,BEG,LYBE,2,,2025-04-26 06:40,2025-04-26 04:40,2025-04-26 07:40,2025-04-26 05:40,,,CDG,LFPG,2B,,04,2025-04-26 09:15,2025-04-26 07:15,2025-04-26 10:24,2025-04-26 08:24,,,JU,240,JU240,scheduled,155,69,60.0,69.0,,1745651700,1745642400,1745655840.0,1745646000.0,,,0,On Time,2,2B
OO,SKW,OO5700,SKW5700,5700,DEN,KDEN,,B52,2025-04-25 21:03,2025-04-26 03:03,2025-04-25 23:40,2025-04-26 05:40,2025-04-25 23:40,2025-04-26 05:40,FSD,KFSD,,7,1,2025-04-25 23:44,2025-04-26 04:44,2025-04-26 02:02,2025-04-26 07:02,2025-04-26 02:02,2025-04-26 07:02,,,,landed,101,138,157.0,138.0,,1745642640,1745636580,1745650920.0,1745646000.0,1745650920.0,1745646000.0,157,Long Delay,Unknown,Unknown
UA,UAL,UA5700,UAL5700,5700,DEN,KDEN,,B52,2025-04-25 21:03,2025-04-26 03:03,2025-04-25 23:40,2025-04-26 05:40,2025-04-25 23:40,2025-04-26 05:40,FSD,KFSD,,7,1,2025-04-25 23:44,2025-04-26 04:44,2025-04-26 02:02,2025-04-26 07:02,2025-04-26 02:02,2025-04-26 07:02,OO,5700,OO5700,landed,101,138,157.0,138.0,,1745642640,1745636580,1745650920.0,1745646000.0,1745650920.0,1745646000.0,157,Long Delay,Unknown,Unknown
NZ,ANZ,NZ4945,ANZ4945,4945,NRT,RJAA,,,2025-04-26 13:25,2025-04-26 04:25,2025-04-26 14:40,2025-04-26 05:40,2025-04-26 14:40,2025-04-26 05:40,TPE,RCTP,2,C5R,,2025-04-26 16:05,2025-04-26 08:05,,,,,BR,183,BR183,active,220,75,75.0,,,1745654700,1745641500,,1745646000.0,,1745646000.0,75,Long Delay,Unknown,2
BR,EVA,BR183,EVA183,183,NRT,RJAA,,,2025-04-26 13:25,2025-04-26 04:25,2025-04-26 14:40,2025-04-26 05:40,2025-04-26 14:40,2025-04-26 05:40,TPE,RCTP,2,C5R,,2025-04-26 16:05,2025-04-26 08:05,,,,,,,,active,220,75,75.0,,B78X,1745654700,1745641500,,1745646000.0,,1745646000.0,75,Long Delay,Unknown,2
CA,CCA,CA911,CCA911,911,PEK,ZBAA,3,,2025-04-26 14:00,2025-04-26 06:00,2025-04-26 13:41,2025-04-26 05:41,2025-04-26 13:41,2025-04-26 05:41,ARN,ESSA,5,,3,2025-04-26 17:20,2025-04-26 15:20,2025-04-26 18:25,2025-04-26 16:25,,,,,,active,560,65,,65.0,A359,1745680800,1745647200,1745684700.0,1745646060.0,,1745646060.0,-19,,3,5
TB,JAF,TB1011,JAF1011,1011,BRU,EBBR,,,2025-04-26 06:05,2025-04-26 04:05,2025-04-26 07:43,2025-04-26 05:43,2025-04-26 07:43,2025-04-26 05:43,AGP,LEMG,,,,2025-04-26 09:10,2025-04-26 07:10,2025-04-26 10:25,2025-04-26 08:25,,,,,,active,185,75,98.0,75.0,B38M,1745651400,1745640300,1745655900.0,1745646180.0,,1745646180.0,98,Long Delay,Unknown,Unknown
IT,TTW,IT261,TTW261,261,CTS,RJCC,,,2025-04-26 13:55,2025-04-26 04:55,2025-04-26 14:44,2025-04-26 05:44,2025-04-26 14:44,2025-04-26 05:44,KHH,RCKH,,23,,2025-04-26 17:15,2025-04-26 09:15,2025-04-26 18:20,2025-04-26 10:20,,,,,,active,260,65,,65.0,A320,1745658900,1745643300,1745662800.0,1745646240.0,,1745646240.0,49,Long Delay,Unknown,Unknown
PR,PAL,PR2905,PAL2905,2905,MNL,RPLL,2,,2025-04-26 11:15,2025-04-26 03:15,2025-04-26 13:44,2025-04-26 05:44,2025-04-26 13:44,2025-04-26 05:44,EUQ,RPVS,,,,2025-04-26 12:50,2025-04-26 04:50,2025-04-26 15:01,2025-04-26 07:01,,,2P,2905,2P2905,landed,95,149,149.0,131.0,,1745643000,1745637300,1745650860.0,1745646240.0,,1745646240.0,149,Long Delay,2,Unknown
2P,GAP,2P2905,GAP2905,2905,MNL,RPLL,2,,2025-04-26 11:15,2025-04-26 03:15,2025-04-26 13:44,2025-04-26 05:44,2025-04-26 13:44,2025-04-26 05:44,EUQ,RPVS,,,,2025-04-26 12:50,2025-04-26 04:50,2025-04-26 15:01,2025-04-26 07:01,,,,,,landed,95,149,149.0,131.0,,1745643000,1745637300,1745650860.0,1745646240.0,,1745646240.0,149,Long Delay,2,Unknown
LH,DLH,LH7838,DLH7838,7838,IAD,KIAD,,21,2025-04-25 22:35,2025-04-26 02:35,2025-04-26 01:45,2025-04-26 05:45,2025-04-26 01:45,2025-04-26 05:45,CDG,LFPG,1,26,,2025-04-26 12:35,2025-04-26 10:35,2025-04-26 15:17,2025-04-26 13:17,,,UA,330,UA330,active,480,190,190.0,162.0,,1745663700,1745634900,1745673420.0,1745646300.0,,1745646300.0,190,Long Delay,Unknown,1
AK,AXM,AK6991,AXM6991,6991,KBR,WMKC,,07,2025-04-26 12:00,2025-04-26 04:00,2025-04-26 13:45,2025-04-26 05:45,2025-04-26 13:45,2025-04-26 05:45,KUL,WMKK,2,,,2025-04-26 13:05,2025-04-26 05:05,2025-04-26 14:58,2025-04-26 06:58,2025-04-26 14:58,2025-04-26 06:58,,,,landed,65,113,105.0,113.0,,1745643900,1745640000,1745650680.0,1745646300.0,1745650680.0,1745646300.0,105,Long Delay,Unknown,2
UA,UAL,UA330,UAL330,330,IAD,KIAD,,21,2025-04-25 22:35,2025-04-26 02:35,2025-04-26 01:45,2025-04-26 05:45,2025-04-26 01:45,2025-04-26 05:45,CDG,LFPG,1,26,,2025-04-26 12:35,2025-04-26 10:35,2025-04-26 15:17,2025-04-26 13:17,,,,,,active,480,190,190.0,162.0,B763,1745663700,1745634900,1745673420.0,1745646300.0,,1745646300.0,190,Long Delay,Unknown,1
U6,SVR,U62426,SVR2426,2426,LBD,UTDL,,,2025-04-26 07:55,2025-04-26 02:55,2025-04-26 10:45,2025-04-26 05:45,2025-04-26 10:50,2025-04-26 05:50,ZIA,UUBW,,,,2025-04-26 10:00,2025-04-26 07:00,2025-04-26 12:54,2025-04-26 09:54,,,,,,active,245,174,170.0,174.0,,1745650800,1745636100,1745661240.0,1745646300.0,,1745646600.0,175,Long Delay,Unknown,Unknown
AC,ACA,AC3449,ACA3449,3449,IAD,KIAD,,21,2025-04-25 22:35,2025-04-26 02:35,2025-04-26 01:45,2025-04-26 05:45,2025-04-26 01:45,2025-04-26 05:45,CDG,LFPG,1,26,,2025-04-26 12:35,2025-04-26 10:35,2025-04-26 15:17,2025-04-26 13:17,,,UA,330,UA330,active,480,190,190.0,162.0,,1745663700,1745634900,1745673420.0,1745646300.0,,1745646300.0,190,Long Delay,Unknown,1
NO,NOS,NO525,NOS525,525,MXP,LIMC,1,B58,2025-04-26 05:45,2025-04-26 03:45,2025-04-26 07:45,2025-04-26 05:45,,,FCO,LIRF,3,,10,2025-04-26 07:10,2025-04-26 05:10,2025-04-26 09:00,2025-04-26 07:00,,,,,,landed,85,110,120.0,110.0,,1745644200,1745639100,1745650800.0,1745646300.0,,,0,On Time,1,3
QR,QTR,QR2553,QTR2553,2553,DFW,KDFW,D,D21,2025-04-25 23:31,2025-04-26 04:31,2025-04-26 00:46,2025-04-26 05:46,2025-04-26 00:46,2025-04-26 05:46,SJU,TJSJ,C,C8,,2025-04-26 05:00,2025-04-26 09:00,2025-04-26 06:14,2025-04-26 10:14,,,AA,3328,AA3328,active,269,74,75.0,74.0,,1745658000,1745641860,1745662440.0,1745646360.0,,1745646360.0,75,Long Delay,D,C
TG,THA,TG9175,THA9175,9175,EWR,KEWR,B,,2025-04-26 00:30,2025-04-26 04:30,2025-04-26 01:46,2025-04-26 05:46,2025-04-26 01:46,2025-04-26 05:46,IST,LTFM,,,,2025-04-26 17:15,2025-04-26 14:15,2025-04-26 19:01,2025-04-26 16:01,,,TK,30,TK30,active,585,76,76.0,106.0,,1745676900,1745641800,1745683260.0,1745646360.0,,1745646360.0,76,Long Delay,B,Unknown
AS,ASA,AS4459,ASA4459,4459,DFW,KDFW,D,D21,2025-04-25 23:31,2025-04-26 04:31,2025-04-26 00:46,2025-04-26 05:46,2025-04-26 00:46,2025-04-26 05:46,SJU,TJSJ,C,C8,,2025-04-26 05:00,2025-04-26 09:00,2025-04-26 06:14,2025-04-26 10:14,,,AA,3328,AA3328,active,269,74,75.0,74.0,,1745658000,1745641860,1745662440.0,1745646360.0,,1745646360.0,75,Long Delay,D,C
AA,AAL,AA3328,AAL3328,3328,DFW,KDFW,D,D21,2025-04-25 23:31,2025-04-26 04:31,2025-04-26 00:46,2025-04-26 05:46,2025-04-26 00:46,2025-04-26 05:46,SJU,TJSJ,C,C8,,2025-04-26 05:00,2025-04-26 09:00,2025-04-26 06:14,2025-04-26 10:14,,,,,,active,269,74,75.0,74.0,A321,1745658000,1745641860,1745662440.0,1745646360.0,,1745646360.0,75,Long Delay,D,C
TK,THY,TK30,THY30,30,EWR,KEWR,B,,2025-04-26 00:30,2025-04-26 04:30,2025-04-26 01:46,2025-04-26 05:46,2025-04-26 01:46,2025-04-26 05:46,IST,LTFM,,,,2025-04-26 17:15,2025-04-26 14:15,2025-04-26 19:01,2025-04-26 16:01,,,,,,active,585,76,76.0,106.0,,1745676900,1745641800,1745683260.0,1745646360.0,,1745646360.0,76,Long Delay,B,Unknown
TV,TBA,TV9824,TBA9824,9824,LXA,ZULS,T3,,2025-04-26 12:20,2025-04-26 04:20,2025-04-26 13:47,2025-04-26 05:47,2025-04-26 13:47,2025-04-26 05:47,CTU,ZUUU,T2,,,2025-04-26 14:10,2025-04-26 06:10,2025-04-26 15:53,2025-04-26 07:53,,,,,,active,110,103,87.0,103.0,A330,1745647800,1745641200,1745653980.0,1745646420.0,,1745646420.0,87,Long Delay,T3,T2
MM,APJ,MM183,APJ183,183,KIX,RJBB,2,89,2025-04-26 13:40,2025-04-26 04:40,2025-04-26 14:47,2025-04-26 05:47,2025-04-26 14:47,2025-04-26 05:47,KMI,RJFM,,,,2025-04-26 14:50,2025-04-26 05:50,2025-04-26 15:52,2025-04-26 06:52,2025-04-26 15:52,2025-04-26 06:52,,,,landed,70,62,67.0,62.0,,1745646600,1745642400,1745650320.0,1745646420.0,1745650320.0,1745646420.0,67,Long Delay,2,Unknown
SU,AFL,SU1473,AFL1473,1473,NJC,USNN,,,2025-04-26 08:25,2025-04-26 03:25,2025-04-26 10:47,2025-04-26 05:47,2025-04-26 10:47,2025-04-26 05:47,SVO,UUEE,B,,1,2025-04-26 10:00,2025-04-26 07:00,2025-04-26 12:32,2025-04-26 09:32,,,,,,active,215,152,142.0,152.0,A320,1745650800,1745637900,1745659920.0,1745646420.0,,1745646420.0,142,Long Delay,Unknown,B
WN,SWA,WN1009,SWA1009,1009,DEN,KDEN,,,2025-04-25 21:40,2025-04-26 03:40,2025-04-25 23:48,2025-04-26 05:48,2025-04-25 23:48,2025-04-26 05:48,SEA,KSEA,,,,2025-04-25 23:35,2025-04-26 06:35,2025-04-26 01:33,2025-04-26 08:33,,,,,,active,175,118,128.0,118.0,B738,1745649300,1745638800,1745656380.0,1745646480.0,,1745646480.0,128,Long Delay,Unknown,Unknown
WN,SWA,WN355,SWA355,355,DEN,KDEN,,,2025-04-25 19:30,2025-04-26 01:30,2025-04-25 23:49,2025-04-26 05:49,2025-04-25 23:49,2025-04-26 05:49,MKE,KMKE,,,,2025-04-25 22:50,2025-04-26 03:50,2025-04-26 03:00,2025-04-26 08:00,,,,,,active,140,250,259.0,250.0,B737,1745639400,1745631000,1745654400.0,1745646540.0,,1745646540.0,259,Long Delay,Unknown,Unknown
MU,CES,MU8657,CES8657,8657,XIY,ZLXY,,,2025-04-26 12:20,2025-04-26 04:20,2025-04-26 13:49,2025-04-26 05:49,2025-04-26 13:49,2025-04-26 05:49,BUD,LHBP,2B,,,2025-04-26 17:00,2025-04-26 15:00,2025-04-26 18:51,2025-04-26 16:51,,,FM,891,FM891,active,640,89,89.0,111.0,,1745679600,1745641200,1745686260.0,1745646540.0,,1745646540.0,89,Long Delay,Unknown,2B
FM,CSH,FM891,CSH891,891,XIY,ZLXY,,,2025-04-26 12:20,2025-04-26 04:20,2025-04-26 13:49,2025-04-26 05:49,2025-04-26 13:49,2025-04-26 05:49,BUD,LHBP,2B,,,2025-04-26 17:00,2025-04-26 15:00,2025-04-26 18:51,2025-04-26 16:51,,,,,,active,640,89,89.0,111.0,,1745679600,1745641200,1745686260.0,1745646540.0,,1745646540.0,89,Long Delay,Unknown,2B
VJ,VJC,VJ815,VJC815,815,SGN,VVTS,2,,2025-04-26 11:20,2025-04-26 04:20,2025-04-26 12:49,2025-04-26 05:49,2025-04-26 12:49,2025-04-26 05:49,SIN,WSSS,4,G9,1,2025-04-26 14:25,2025-04-26 06:25,2025-04-26 15:35,2025-04-26 07:35,,,,,,active,125,70,,70.0,A321,1745648700,1745641200,1745652900.0,1745646540.0,,1745646540.0,89,Long Delay,2,4
AF,AFR,AF2087,AFR2087,2087,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
WZ,RWZ,WZ1026,RWZ1026,1026,UFA,UWUU,1,,2025-04-26 10:50,2025-04-26 05:50,,,,,SVX,USSS,,,,2025-04-26 12:05,2025-04-26 07:05,2025-04-26 13:10,2025-04-26 08:10,,,,,,scheduled,75,65,,65.0,,1745651100,1745646600,1745655000.0,,,,0,On Time,1,Unknown
WN,SWA,WN4359,SWA4359,4359,PDX,KPDX,,E9,2025-04-25 20:25,2025-04-26 03:25,2025-04-25 22:50,2025-04-26 05:50,2025-04-25 22:50,2025-04-26 05:50,SJC,KSJC,B,20,,2025-04-25 22:10,2025-04-26 05:10,2025-04-26 00:30,2025-04-26 07:30,,,,,,landed,105,140,145.0,140.0,B738,1745644200,1745637900,1745652600.0,1745646600.0,,1745646600.0,145,Long Delay,Unknown,B
,MAY,,MAY6832,6832,NAP,LIRN,,C20,2025-04-26 06:35,2025-04-26 04:35,2025-04-26 07:50,2025-04-26 05:50,2025-04-26 07:50,2025-04-26 05:50,EIN,EHEH,,C20,,2025-04-26 08:55,2025-04-26 06:55,2025-04-26 10:18,2025-04-26 08:18,,,,,,active,140,75,75.0,83.0,,1745650500,1745642100,1745655480.0,1745646600.0,,1745646600.0,75,Long Delay,Unknown,Unknown
KE,KAL,KE6831,KAL6831,6831,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
LA,LAN,LA6706,LAN6706,6706,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
MS,MSR,MS264,MSR264,264,CAI,HECA,3,,2025-04-26 07:10,2025-04-26 04:10,2025-04-26 08:50,2025-04-26 05:50,2025-04-26 08:50,2025-04-26 05:50,LXR,HELX,,,,2025-04-26 08:15,2025-04-26 05:15,2025-04-26 09:55,2025-04-26 06:55,2025-04-26 09:55,2025-04-26 06:55,,,,landed,65,100,105.0,100.0,,1745644500,1745640600,1745650500.0,1745646600.0,1745650500.0,1745646600.0,100,Long Delay,3,Unknown
WS,WJA,WS6748,WJA6748,6748,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
KL,KLM,KL5093,KLM5093,5093,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
DL,DAL,DL2257,DAL2257,2257,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,,,,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
GR,AUR,GR670,AUR670,670,GCI,EGJB,,,2025-04-26 06:50,2025-04-26 05:50,,,,,MAN,EGCC,2,,,2025-04-26 08:30,2025-04-26 07:30,2025-04-26 10:44,2025-04-26 09:44,,,,,,scheduled,100,134,,134.0,,1745652600,1745646600,1745660640.0,,,,0,On Time,Unknown,2
FR,RYR,FR6832,RYR6832,6832,NAP,LIRN,,C20,2025-04-26 06:35,2025-04-26 04:35,2025-04-26 07:50,2025-04-26 05:50,2025-04-26 07:50,2025-04-26 05:50,EIN,EHEH,,C20,,2025-04-26 08:55,2025-04-26 06:55,2025-04-26 10:18,2025-04-26 08:18,,,,6832,,active,140,75,75.0,83.0,B738,1745650500,1745642100,1745655480.0,1745646600.0,,1745646600.0,75,Long Delay,Unknown,Unknown
AM,AMX,AM3007,AMX3007,3007,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
VS,VIR,VS4344,VIR4344,4344,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
SK,SAS,SK3513,SAS3513,3513,ATL,KATL,S,A17,2025-04-25 21:19,2025-04-26 01:19,2025-04-26 01:50,2025-04-26 05:50,2025-04-26 01:50,2025-04-26 05:50,BHM,KBHM,,A7,,2025-04-25 21:12,2025-04-26 02:12,2025-04-26 01:40,2025-04-26 06:40,2025-04-26 01:40,2025-04-26 06:40,DL,2257,DL2257,landed,53,271,271.0,268.0,,1745633520,1745630340,1745649600.0,1745646600.0,1745649600.0,1745646600.0,271,Long Delay,S,Unknown
UA,UAL,UA1004,UAL1004,1004,DEN,KDEN,,B35,2025-04-25 20:48,2025-04-26 02:48,2025-04-25 23:51,2025-04-26 05:51,2025-04-25 23:51,2025-04-26 05:51,RAP,KRAP,,5,2,2025-04-25 22:00,2025-04-26 04:00,2025-04-26 01:01,2025-04-26 07:01,2025-04-26 01:01,2025-04-26 07:01,,,,landed,72,181,183.0,181.0,,1745640000,1745635680,1745650860.0,1745646660.0,1745650860.0,1745646660.0,183,Long Delay,Unknown,Unknown
CM,CMP,CM1133,CMP1133,1133,DEN,KDEN,,B35,2025-04-25 20:48,2025-04-26 02:48,2025-04-25 23:51,2025-04-26 05:51,2025-04-25 23:51,2025-04-26 05:51,RAP,KRAP,,5,2,2025-04-25 22:00,2025-04-26 04:00,2025-04-26 01:01,2025-04-26 07:01,2025-04-26 01:01,2025-04-26 07:01,UA,1004,UA1004,landed,72,181,183.0,181.0,,1745640000,1745635680,1745650860.0,1745646660.0,1745650860.0,1745646660.0,183,Long Delay,Unknown,Unknown
TV,TBA,TV9985,TBA9985,9985,LXA,ZULS,T3,,2025-04-26 11:25,2025-04-26 03:25,2025-04-26 13:51,2025-04-26 05:51,2025-04-26 13:51,2025-04-26 05:51,LZO,ZULZ,,,,2025-04-26 13:40,2025-04-26 05:40,2025-04-26 16:06,2025-04-26 08:06,,,,,,active,135,146,146.0,146.0,A319,1745646000,1745637900,1745654760.0,1745646660.0,,1745646660.0,146,Long Delay,T3,Unknown
VJ,VJC,VJ857,VJC857,857,NGO,RJGG,1,23,2025-04-26 09:30,2025-04-26 00:30,2025-04-26 14:52,2025-04-26 05:52,2025-04-26 14:52,2025-04-26 05:52,SGN,VVTS,2,,,2025-04-26 13:05,2025-04-26 06:05,,,,,,,,active,335,322,322.0,,,1745647500,1745627400,,1745646720.0,,1745646720.0,322,Long Delay,1,2
QZ,AWQ,QZ540,AWQ540,540,DPS,WADD,I,6B,2025-04-26 12:05,2025-04-26 04:05,2025-04-26 13:52,2025-04-26 05:52,2025-04-26 13:52,2025-04-26 05:52,DRW,YPDN,,,4,2025-04-26 16:15,2025-04-26 06:45,2025-04-26 18:20,2025-04-26 08:50,,,,,,active,160,107,107.0,125.0,A320,1745649900,1745640300,1745657400.0,1745646720.0,,1745646720.0,107,Long Delay,I,Unknown
WN,SWA,WN4164,SWA4164,4164,SJC,KSJC,B,26,2025-04-25 21:10,2025-04-26 04:10,2025-04-25 22:54,2025-04-26 05:54,2025-04-25 22:54,2025-04-26 05:54,SEA,KSEA,,,,2025-04-25 23:25,2025-04-26 06:25,2025-04-26 00:47,2025-04-26 07:47,,,,,,active,135,82,104.0,82.0,B737,1745648700,1745640600,1745653620.0,1745646840.0,,1745646840.0,104,Long Delay,B,Unknown
VJ,VJC,VJ852,VJC852,852,SGN,VVTS,2,,2025-04-26 10:25,2025-04-26 03:25,2025-04-26 12:54,2025-04-26 05:54,2025-04-26 12:54,2025-04-26 05:54,RMQ,RCMQ,2,,,2025-04-26 14:45,2025-04-26 06:45,,,,,,,,active,200,149,149.0,,A21N,1745649900,1745637900,,1745646840.0,,1745646840.0,149,Long Delay,2,2
